Soil_Type,Crop_Type,Season,Soil_pH,Nitrogen,Phosphorus,Potassium,Fertilizer_Name,Fertilizer_Amount_kg_acre
Coastal Alluvium,Rice (Paddy),Mundakan (Rabi),6.6,48,74,116,Urea,139.76
Coastal Alluvium,Rubber,Virippu (Kharif),4.8,97,61,49,Urea,183.33
Forest Loam,Coconut,Puncha (Summer),6.0,94,42,95,20-20-20,195.23
Forest Loam,Pepper,Mundakan (Rabi),5.1,30,79,57,18-18-18,164.53
Laterite Soil,Rice (Paddy),Virippu (Kharif),5.6,33,71,90,Urea,168.21
Laterite Soil,Coconut,Puncha (Summer),5.4,86,73,145,20-20-20,142.39
Coastal Alluvium,Coconut,Mundakan (Rabi),4.8,102,71,69,Potash,167.3
Laterite Soil,Coconut,Mundakan (Rabi),6.1,50,36,133,20-20-20,197.3
Coastal Alluvium,Coconut,Mundakan (Rabi),6.1,29,31,81,Urea,218.15
Coastal Alluvium,Rice (Paddy),Puncha (Summer),7.0,37,69,55,Urea,178.85
Laterite Soil,Rice (Paddy),Puncha (Summer),5.2,114,66,121,Potash,138.01
Laterite Soil,Rice (Paddy),Mundakan (Rabi),4.8,37,70,79,Urea,164.53
Laterite Soil,Rice (Paddy),Puncha (Summer),5.3,104,33,32,DAP,157.66
Sandy Loam,Coconut,Mundakan (Rabi),5.5,81,55,124,20-20-20,155.45
Laterite Soil,Rice (Paddy),Mundakan (Rabi),7.3,87,30,121,DAP,110.75
Coastal Alluvium,Rubber,Mundakan (Rabi),7.0,108,58,50,Urea,192.02
Coastal Alluvium,Rubber,Mundakan (Rabi),5.8,104,63,148,Urea,103.97
Sandy Loam,Banana,Puncha (Summer),6.2,32,52,35,DAP,172.55
Forest Loam,Cardamom,Mundakan (Rabi),4.5,50,72,55,Potash,150.6
Red Soil,Cardamom,Mundakan (Rabi),4.8,95,62,53,18-18-18,168.7
Red Soil,Rice (Paddy),Mundakan (Rabi),4.6,63,18,21,DAP,156.35
Coastal Alluvium,Rubber,Virippu (Kharif),5.6,63,28,138,Urea,185.18
Sandy Loam,Coconut,Mundakan (Rabi),5.7,108,27,43,Potash,176.93
Laterite Soil,Rice (Paddy),Virippu (Kharif),4.6,67,61,114,Potash,152.56
Laterite Soil,Coconut,Mundakan (Rabi),7.0,108,22,129,20-20-20,183.66
Laterite Soil,Rice (Paddy),Mundakan (Rabi),5.5,53,26,122,Urea,150.21
Laterite Soil,Pepper,Virippu (Kharif),7.2,51,73,43,18-18-18,152.19
Laterite Soil,Coconut,Mundakan (Rabi),7.3,119,74,111,20-20-20,141.71
Coastal Alluvium,Rice (Paddy),Puncha (Summer),5.1,25,43,133,Factamfos,126.69
Laterite Soil,Coconut,Virippu (Kharif),5.4,32,12,24,Potash,218.62
Laterite Soil,Rice (Paddy),Mundakan (Rabi),7.3,41,45,40,Urea,193.65
Laterite Soil,Coconut,Puncha (Summer),7.4,79,30,42,Potash,169.04
Laterite Soil,Cashew,Puncha (Summer),6.9,98,60,129,Urea,115.09
Laterite Soil,Cardamom,Virippu (Kharif),5.5,99,39,133,18-18-18,117.3
Laterite Soil,Rice (Paddy),Virippu (Kharif),6.0,61,58,100,Potash,162.03
Laterite Soil,Pepper,Mundakan (Rabi),4.6,110,50,147,18-18-18,123.67
Laterite Soil,Cardamom,Virippu (Kharif),6.7,53,49,49,20-20-20,177.38
Laterite Soil,Cardamom,Puncha (Summer),5.6,72,71,52,18-18-18,155.28
Coastal Alluvium,Rice (Paddy),Virippu (Kharif),6.0,30,22,124,Urea,177.08
Sandy Loam,Rice (Paddy),Virippu (Kharif),4.8,48,27,114,Urea,144.81
Sandy Loam,Rice (Paddy),Virippu (Kharif),7.0,108,38,21,DAP,180.71
Laterite Soil,Rubber,Mundakan (Rabi),7.1,48,18,135,Factamfos,174.17
Forest Loam,Coconut,Virippu (Kharif),5.2,37,77,146,Urea,178.38
Laterite Soil,Rice (Paddy),Puncha (Summer),6.5,40,38,132,Factamfos,158.27
Sandy Loam,Coconut,Virippu (Kharif),6.0,107,76,106,20-20-20,142.01
Laterite Soil,Coconut,Virippu (Kharif),6.9,94,54,118,20-20-20,180.77
Laterite Soil,Coconut,Virippu (Kharif),6.6,62,74,83,20-20-20,200.08
Laterite Soil,Rice (Paddy),Puncha (Summer),5.1,108,43,108,Potash,143.22
Laterite Soil,Banana,Virippu (Kharif),5.8,75,61,144,Factamfos,139.99
Coastal Alluvium,Coconut,Mundakan (Rabi),7.3,107,70,122,20-20-20,184.43
Forest Loam,Cardamom,Mundakan (Rabi),6.0,20,53,21,20-20-20,208.55
Laterite Soil,Pepper,Puncha (Summer),4.8,33,13,138,DAP,184.42
Laterite Soil,Pepper,Puncha (Summer),6.3,82,63,142,20-20-20,122.44
Coastal Alluvium,Banana,Mundakan (Rabi),5.2,115,24,103,18-18-18,170.75
Coastal Alluvium,Rice (Paddy),Virippu (Kharif),5.9,59,29,63,Urea,180.67
Laterite Soil,Rice (Paddy),Virippu (Kharif),6.6,87,62,44,Potash,151.56
Laterite Soil,Rubber,Puncha (Summer),5.6,27,22,77,Factamfos,230.99
Laterite Soil,Rice (Paddy),Puncha (Summer),4.6,63,17,43,DAP,172.09
Coastal Alluvium,Cashew,Mundakan (Rabi),7.0,93,13,103,18-18-18,175.5
Coastal Alluvium,Rubber,Mundakan (Rabi),4.6,78,46,149,Urea,138.31
Laterite Soil,Rice (Paddy),Mundakan (Rabi),4.9,35,61,57,Urea,146.74
Forest Loam,Rice (Paddy),Puncha (Summer),4.6,47,75,141,Urea,104.95
Forest Loam,Rice (Paddy),Mundakan (Rabi),5.8,29,72,68,Urea,164.42
Laterite Soil,Rice (Paddy),Puncha (Summer),6.9,35,32,129,Factamfos,154.24
Laterite Soil,Coconut,Virippu (Kharif),5.6,79,30,21,Potash,232.49
Laterite Soil,Cardamom,Virippu (Kharif),6.3,56,32,71,20-20-20,170.51
Laterite Soil,Rubber,Virippu (Kharif),6.8,47,42,135,18-18-18,162.93
Sandy Loam,Rice (Paddy),Virippu (Kharif),7.1,118,40,131,Potash,116.44
Laterite Soil,Rubber,Puncha (Summer),5.1,40,20,112,Factamfos,215.5
Laterite Soil,Coconut,Mundakan (Rabi),7.3,74,66,35,Potash,187.12
Coastal Alluvium,Rubber,Mundakan (Rabi),4.6,75,37,143,18-18-18,188.26
Sandy Loam,Cashew,Virippu (Kharif),6.8,31,13,122,20-20-20,191.12
Forest Loam,Rice (Paddy),Mundakan (Rabi),5.5,80,33,119,DAP,170.95
Coastal Alluvium,Rubber,Mundakan (Rabi),7.0,108,63,48,18-18-18,176.59
Laterite Soil,Rice (Paddy),Mundakan (Rabi),6.8,28,57,99,Factamfos,148.64
Coastal Alluvium,Coconut,Mundakan (Rabi),6.5,115,63,34,18-18-18,178.1
Laterite Soil,Cardamom,Mundakan (Rabi),5.6,98,41,59,20-20-20,176.54
Forest Loam,Banana,Mundakan (Rabi),5.8,79,55,135,18-18-18,136.22
Forest Loam,Rubber,Mundakan (Rabi),5.2,83,62,137,18-18-18,137.99
Forest Loam,Rice (Paddy),Puncha (Summer),6.0,31,70,62,Factamfos,153.71
Laterite Soil,Rice (Paddy),Mundakan (Rabi),4.6,85,48,74,Potash,175.15
Coastal Alluvium,Rubber,Puncha (Summer),5.6,48,25,121,Factamfos,194.62
Forest Loam,Rice (Paddy),Puncha (Summer),6.0,95,11,141,DAP,143.52
Forest Loam,Coconut,Virippu (Kharif),4.9,54,28,138,20-20-20,157.5
Laterite Soil,Rice (Paddy),Virippu (Kharif),5.5,38,43,57,Urea,170.39
Sandy Loam,Cardamom,Mundakan (Rabi),6.7,24,44,75,18-18-18,159.86
Coastal Alluvium,Coconut,Mundakan (Rabi),4.8,92,22,71,Potash,183.45
Sandy Loam,Rubber,Mundakan (Rabi),6.7,58,70,145,18-18-18,158.03
Red Soil,Rice (Paddy),Puncha (Summer),5.7,68,68,110,Potash,160.85
Coastal Alluvium,Coconut,Virippu (Kharif),4.7,90,15,21,Potash,235.71
Forest Loam,Rubber,Mundakan (Rabi),7.2,63,50,43,Urea,212.19
Coastal Alluvium,Rice (Paddy),Virippu (Kharif),5.4,105,61,40,Potash,151.04
Laterite Soil,Rubber,Virippu (Kharif),5.5,55,39,145,18-18-18,185.79
Laterite Soil,Rice (Paddy),Puncha (Summer),7.5,59,78,52,Urea,166.7
Laterite Soil,Cardamom,Mundakan (Rabi),7.2,77,30,118,20-20-20,144.47
Coastal Alluvium,Coconut,Virippu (Kharif),4.7,110,29,116,20-20-20,142.26
Red Soil,Rubber,Mundakan (Rabi),6.6,20,58,74,Urea,199.13
Coastal Alluvium,Rice (Paddy),Virippu (Kharif),7.0,72,36,118,DAP,155.81
Forest Loam,Cashew,Mundakan (Rabi),6.0,79,27,113,Factamfos,193.18
Coastal Alluvium,Rice (Paddy),Puncha (Summer),6.4,75,11,42,DAP,178.96
Sandy Loam,Coconut,Mundakan (Rabi),5.7,53,41,25,Potash,234.81
Red Soil,Coconut,Mundakan (Rabi),7.0,38,42,107,Urea,177.79
Coastal Alluvium,Rice (Paddy),Puncha (Summer),6.9,95,23,78,DAP,123.97
Sandy Loam,Coconut,Puncha (Summer),6.4,30,73,97,Urea,178.12
Laterite Soil,Rice (Paddy),Mundakan (Rabi),6.5,61,18,36,DAP,180.44
Sandy Loam,Rubber,Virippu (Kharif),5.7,29,59,115,18-18-18,160.1
Coastal Alluvium,Coconut,Puncha (Summer),6.9,119,25,46,18-18-18,199.33
Forest Loam,Rubber,Mundakan (Rabi),7.1,87,57,24,Urea,188.96
Laterite Soil,Coconut,Puncha (Summer),5.5,69,48,122,20-20-20,168.72
Laterite Soil,Pepper,Puncha (Summer),5.1,52,59,45,Potash,161.83
Laterite Soil,Rubber,Virippu (Kharif),4.8,76,62,125,Urea,146.23
Laterite Soil,Rubber,Virippu (Kharif),6.9,110,26,25,18-18-18,188.16
Laterite Soil,Rice (Paddy),Mundakan (Rabi),4.6,34,61,94,Factamfos,150.64
Coastal Alluvium,Banana,Puncha (Summer),6.7,109,35,49,Urea,155.4
Coastal Alluvium,Banana,Puncha (Summer),7.5,20,16,104,DAP,175.54
Coastal Alluvium,Rubber,Virippu (Kharif),6.2,91,76,67,Urea,185.41
Coastal Alluvium,Rice (Paddy),Virippu (Kharif),7.0,110,57,82,Potash,121.98
Forest Loam,Coconut,Puncha (Summer),7.3,85,47,145,20-20-20,163.72
Laterite Soil,Rice (Paddy),Puncha (Summer),4.5,31,44,36,Factamfos,194.12
Laterite Soil,Rice (Paddy),Puncha (Summer),7.4,31,61,96,Urea,157.55
Laterite Soil,Coconut,Puncha (Summer),5.3,57,51,58,Potash,178.99
Coastal Alluvium,Rubber,Puncha (Summer),5.1,33,64,125,18-18-18,181.08
Coastal Alluvium,Coconut,Mundakan (Rabi),6.0,112,28,84,20-20-20,170.95
Laterite Soil,Coconut,Virippu (Kharif),5.4,69,65,58,Potash,184.18
Coastal Alluvium,Coconut,Virippu (Kharif),6.6,33,30,57,Potash,230.69
Laterite Soil,Pepper,Virippu (Kharif),6.2,90,40,55,20-20-20,140.58
Laterite Soil,Cardamom,Mundakan (Rabi),5.5,44,45,91,20-20-20,134.62
Coastal Alluvium,Coconut,Mundakan (Rabi),5.9,27,47,95,Urea,215.65
Forest Loam,Coconut,Virippu (Kharif),6.3,44,27,79,18-18-18,205.15
Laterite Soil,Cardamom,Mundakan (Rabi),4.9,81,45,25,DAP,143.12
Sandy Loam,Banana,Virippu (Kharif),7.3,58,17,27,Urea,204.14
Forest Loam,Cardamom,Virippu (Kharif),6.9,82,21,45,Potash,148.73
Forest Loam,Rice (Paddy),Virippu (Kharif),7.2,40,59,71,Factamfos,167.57
Coastal Alluvium,Rubber,Puncha (Summer),5.6,109,31,132,18-18-18,181.21
Coastal Alluvium,Rice (Paddy),Mundakan (Rabi),6.7,58,22,110,Urea,156.02
Forest Loam,Rubber,Virippu (Kharif),5.1,68,75,137,18-18-18,177.3
Sandy Loam,Cardamom,Virippu (Kharif),6.8,52,48,75,18-18-18,156.87
Red Soil,Coconut,Virippu (Kharif),5.6,68,12,94,20-20-20,199.2
Forest Loam,Rice (Paddy),Mundakan (Rabi),4.9,46,35,139,Factamfos,109.69
Forest Loam,Cashew,Virippu (Kharif),4.8,95,16,76,DAP,201.86
Laterite Soil,Coconut,Mundakan (Rabi),6.8,71,12,101,20-20-20,174.47
Laterite Soil,Coconut,Puncha (Summer),5.6,73,13,91,20-20-20,199.51
Laterite Soil,Coconut,Virippu (Kharif),5.6,53,26,45,Potash,190.81
Laterite Soil,Coconut,Mundakan (Rabi),7.4,69,46,73,18-18-18,213.0
Laterite Soil,Coconut,Mundakan (Rabi),6.5,99,69,139,20-20-20,128.06
Laterite Soil,Coconut,Puncha (Summer),5.9,57,44,102,20-20-20,192.83
Laterite Soil,Cardamom,Virippu (Kharif),5.7,71,65,105,18-18-18,158.37
Laterite Soil,Banana,Puncha (Summer),7.0,95,48,101,20-20-20,125.54
Forest Loam,Coconut,Virippu (Kharif),7.2,118,66,145,20-20-20,136.49
Laterite Soil,Rice (Paddy),Mundakan (Rabi),5.0,50,40,133,Urea,136.09
Red Soil,Rice (Paddy),Mundakan (Rabi),5.9,45,79,69,Factamfos,179.52
Coastal Alluvium,Coconut,Mundakan (Rabi),7.1,60,61,90,20-20-20,190.57
Laterite Soil,Coconut,Mundakan (Rabi),7.0,87,48,125,20-20-20,168.53
Sandy Loam,Rice (Paddy),Virippu (Kharif),6.5,68,48,73,Potash,171.63
Laterite Soil,Coconut,Mundakan (Rabi),6.4,49,12,90,Urea,182.92
Laterite Soil,Banana,Mundakan (Rabi),5.2,101,46,21,18-18-18,145.89
Sandy Loam,Coconut,Virippu (Kharif),5.8,90,79,76,Potash,148.65
Laterite Soil,Cardamom,Virippu (Kharif),5.0,32,52,43,18-18-18,172.92
Coastal Alluvium,Cardamom,Virippu (Kharif),4.7,53,23,95,DAP,185.25
Forest Loam,Rice (Paddy),Puncha (Summer),5.7,102,50,143,Potash,111.43
Laterite Soil,Pepper,Virippu (Kharif),6.0,54,27,100,20-20-20,155.6
Coastal Alluvium,Rice (Paddy),Virippu (Kharif),5.7,117,18,60,DAP,154.58
Laterite Soil,Rubber,Mundakan (Rabi),6.5,62,51,77,Urea,192.84
Forest Loam,Coconut,Puncha (Summer),5.2,68,31,116,20-20-20,169.82
Laterite Soil,Rice (Paddy),Puncha (Summer),6.9,71,14,70,DAP,159.08
Coastal Alluvium,Banana,Virippu (Kharif),4.6,30,52,23,Urea,179.3
Sandy Loam,Coconut,Puncha (Summer),5.1,49,55,79,Potash,211.85
Sandy Loam,Rice (Paddy),Puncha (Summer),4.8,44,20,92,Factamfos,184.64
Forest Loam,Coconut,Puncha (Summer),7.1,113,35,52,Potash,209.33
Coastal Alluvium,Rubber,Mundakan (Rabi),5.2,47,51,149,18-18-18,184.49
Laterite Soil,Rubber,Puncha (Summer),7.1,33,22,80,Factamfos,211.23
Laterite Soil,Pepper,Mundakan (Rabi),4.7,91,53,109,20-20-20,145.46
Laterite Soil,Rice (Paddy),Puncha (Summer),5.5,22,31,43,Urea,182.73
Laterite Soil,Cardamom,Puncha (Summer),5.7,65,50,126,18-18-18,129.82
Forest Loam,Rice (Paddy),Mundakan (Rabi),5.0,47,48,146,Urea,130.14
Laterite Soil,Coconut,Virippu (Kharif),7.1,84,36,27,Potash,230.14
Coastal Alluvium,Banana,Virippu (Kharif),5.4,29,38,143,DAP,142.0
Coastal Alluvium,Rubber,Puncha (Summer),5.9,72,29,80,Urea,177.36
Red Soil,Coconut,Mundakan (Rabi),5.9,115,42,140,20-20-20,147.49
